Projections_from,Date,Guinea,Liberia,Sierra Leone,y1.Guinea,ymin1.Guinea,ymax1.Guinea,y1.Liberia,ymin1.Liberia,ymax1.Liberia,y1.Sierra Leone,ymin1.Sierra Leone,ymax1.Sierra Leone,y2.Guinea,ymin2.Guinea,ymax2.Guinea,y2.Liberia,ymin2.Liberia,ymax2.Liberia,y2.Sierra Leone,ymin2.Sierra Leone,ymax2.Sierra Leone,y4.Guinea,ymin4.Guinea,ymax4.Guinea,y4.Liberia,ymin4.Liberia,ymax4.Liberia,y4.Sierra Leone,ymin4.Sierra Leone,ymax4.Sierra Leone
2015-09-23,2015-09-24,1.13636363636351,0.117647058825241,88,1,0,4,0,0,1,65,48,84,1,0,3,0,0,1,64,47,83,1,0,4,0,0,1,65,47,84.025
2015-09-30,2015-10-01,0.159090909090992,0.117647058823422,34,1,0,5,0,0,1,76,57,97,1,0,4,0,0,1,77,57,98,1,0,5,0,0,1,76,57,98
2015-10-07,2015-10-08,0.159090909090992,0.117647058823422,37,1,0,3,0,0,1,61,45,81,1,0,3,0,0,1,61,44,80,1,0,4,0,0,1,61,45,80
2015-10-14,2015-10-15,0.159090909090992,0.117647058823422,19,0,0,2,0,0,1,47,33,64,0,0,2,0,0,1,46,32.975,62,0,0,2,0,0,1,47,32,64.025
2015-10-21,2015-10-22,0.159090909090992,0.117647058823422,60,0,0,1,0,0,1,30,20,43.025,0,0,1,0,0,1,30,18,44,0,0,1,0,0,1,30,19,42
2015-10-28,2015-10-29,0.159090909090537,0.117647058823422,28,0,0,1,0,0,1,37,24,52,0,0,1,0,0,1,36,25,51,0,0,1,0,0,1,36,23,51
2015-11-04,2015-11-05,0.159090909090992,0.117647058823422,33,0,0,1,0,0,1.02499999999998,30,18,41,0,0,1,0,0,1,30,19,42,0,0,1,0,0,1,30,18.975,42
2015-11-11,2015-11-12,0.159090909090992,0.117647058823422,0,0,0,1,0,0,1,28,17,39,0,0,1,0,0,1,28,17,40,0,0,1,0,0,1,27,17,39.025
2015-11-18,2015-11-19,0.159090909090992,0.117647058823422,0,0,0,1,0,0,1,12,5,20,0,0,1,0,0,1,12,5,20,0,0,1,0,0,1,12,5,20
2015-11-25,2015-11-26,0.159090909090992,0,0,0,0,1,0,0,1,6,1,11.025,0,0,1,0,0,1,6,2,12,0,0,1,0,0,1,6,1,12
2015-12-02,2015-12-03,0.159090909090537,0,0,0,0,1,0,0,1,2,0,6,0,0,1,0,0,1,2,0,6,0,0,1,0,0,1,2,0,6
2015-12-09,2015-12-10,0.159090909090992,0,0,0,0,1.02499999999998,0,0,1,1,0,3,0,0,1,0,0,1,1,0,3,0,0,1,0,0,1,1,0,3
2015-12-16,2015-12-17,0.159090909090992,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
2015-12-23,2015-12-24,0.159090909090992,0,0,0,0,1.02499999999998,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-12-30,2015-12-31,0.159090909090992,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-01-06,2016-01-07,0.159090909090992,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-01-13,2016-01-14,0.159090909090537,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2016-01-20,2016-01-21,0.159090909090992,0,0,0,0,1,0,0,0,0,0,0,0,0,1.02499999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-01-27,2016-01-28,0.159090909090992,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
