Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,Suspected Cases,Suspected Deaths,Confirmed Cases,Confirmed Deaths,Rule Outs,Long,Lat
Sierra Leone,Sierra Leone,Ebola,Humans,2972544,"PRO/AH/EDR> Ebola virus disease - West Africa (214): WHO, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20141119.2972544,11/19/14 21:00,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2972544,"PRO/AH/EDR> Ebola virus disease - West Africa (214): WHO, Sierra Leone, Liberia",http://promedmail.org/direct.php?id=20141119.2972544,11/19/14 21:00,No Tag,,,,,,-9.30791,6.44809
Sierra Leone,Sierra Leone,Ebola,Humans,2966829,"PRO/AH/EDR> Ebola virus disease - West Africa (213): Sierra Leone, Benin false alarm, Mali",http://promedmail.org/direct.php?id=20141118.2966829,11/18/14 21:02,No Tag,,,,,,-11.79192,8.56028
Guinea,Guinea,Ebola,Humans,2964967,PRO/EAFR> Ebola virus disease - West Africa (48): WHO update,http://promedmail.org/direct.php?id=20141118.2964967,11/18/14 14:39,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2964967,PRO/EAFR> Ebola virus disease - West Africa (48): WHO update,http://promedmail.org/direct.php?id=20141118.2964967,11/18/14 14:39,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2964967,PRO/EAFR> Ebola virus disease - West Africa (48): WHO update,http://promedmail.org/direct.php?id=20141118.2964967,11/18/14 14:39,No Tag,,,,,,-9.30791,6.44809
Liberia,Liberia,Ebola,Humans,2960393,"PRO/AH/EDR> Ebola virus disease - West Africa (212): Mali, Guinea-Bissau reopens, Liberia",http://promedmail.org/direct.php?id=20141116.2960393,11/16/14 17:45,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2923832,PRO/SOAS> Ebola virus disease: donning & doffing of PPE,http://promedmail.org/direct.php?id=20141116.2923832,11/16/14 10:32,No Tag,,,,,,-10.94177,10.43821
Guinea,Guinea,Ebola,Humans,2958823,"PRO/AH/EDR> Ebola virus disease - West Africa (211): Mali, Liberia, aid, S Leone, Guinea",http://promedmail.org/direct.php?id=20141116.2958823,11/16/14 5:11,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2958823,"PRO/AH/EDR> Ebola virus disease - West Africa (211): Mali, Liberia, aid, S Leone, Guinea",http://promedmail.org/direct.php?id=20141116.2958823,11/16/14 5:11,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2958823,"PRO/AH/EDR> Ebola virus disease - West Africa (211): Mali, Liberia, aid, S Leone, Guinea",http://promedmail.org/direct.php?id=20141116.2958823,11/16/14 5:11,No Tag,,,,,,-9.30791,6.44809
Liberia,Liberia,Ebola,Humans,2955997,"PRO/AH/EDR> Ebola virus disease - West Africa (210): Mali, Liberia, WHO",http://promedmail.org/direct.php?id=20141114.2955997,11/14/14 17:47,No Tag,,,,,,-9.30791,6.44809
